factor,type,score
badCondition,total,18
temptation,total,21
bothering,total,30
lackOfTime,total,10
methodUncertainty,total,6
boring,total,7
slightEffect,total,5
ETC,total,9
badCondition,youtube,13
temptation,youtube,15
bothering,youtube,20
lackOfTime,youtube,7
methodUncertainty,youtube,5
boring,youtube,5
slightEffect,youtube,4
ETC,youtube,6
badCondition,app,2
temptation,app,2
bothering,app,2
lackOfTime,app,0
methodUncertainty,app,1
boring,app,1
slightEffect,app,0
ETC,app,0
badCondition,alone,3
temptation,alone,4
bothering,alone,8
lackOfTime,alone,3
methodUncertainty,alone,0
boring,alone,1
slightEffect,alone,1
ETC,alone,3
