factor,type,score
badCondition,total,11
temptation,total,13
bothering,total,17
lackOfTime,total,7
methodUncertainty,total,4
boring,total,4
slightEffect,total,2
ETC,total,4
badCondition,youtube,9
temptation,youtube,11
bothering,youtube,13
lackOfTime,youtube,6
methodUncertainty,youtube,3
boring,youtube,3
slightEffect,youtube,2
ETC,youtube,4
badCondition,app,2
temptation,app,1
bothering,app,1
lackOfTime,app,0
methodUncertainty,app,1
boring,app,1
slightEffect,app,0
ETC,app,0
badCondition,alone,0
temptation,alone,1
bothering,alone,3
lackOfTime,alone,1
methodUncertainty,alone,0
boring,alone,0
slightEffect,alone,0
ETC,alone,0
