participants,type,score,total
0,alone,2,total
1,youtube,2,total
2,alone,4,total
3,youtube,5,total
4,youtube,2,total
5,alone,1,total
6,youtube,4,total
7,youtube,2,total
8,youtube,2,total
9,youtube,4,total
10,alone,3,total
11,youtube,2,total
12,alone,2,total
13,youtube,3,total
14,alone,4,total
15,youtube,3,total
16,youtube,3,total
17,youtube,3,total
18,youtube,2,total
19,youtube,2,total
20,app,2,total
21,youtube,3,total
22,youtube,3,total
23,youtube,1,total
24,youtube,2,total
25,youtube,3,total
26,youtube,1,total
27,youtube,2,total
28,youtube,3,total
29,youtube,3,total
30,youtube,4,total
31,youtube,3,total
32,youtube,2,total
33,youtube,3,total
34,youtube,4,total
35,alone,2,total
36,app,4,total
37,youtube,2,total
38,youtube,3,total
39,youtube,1,total
40,app,4,total
41,app,2,total
42,youtube,2,total
43,youtube,3,total
44,youtube,2,total
45,youtube,3,total
46,alone,5,total
47,alone,3,total
48,alone,3,total
49,alone,3,total
50,youtube,4,total
51,app,2,total
52,youtube,3,total
53,alone,1,total
54,alone,2,total
55,alone,2,total
56,youtube,3,total
57,youtube,2,total
58,youtube,2,total
59,youtube,4,total
60,alone,5,total
61,alone,5,total
62,youtube,4,total
63,youtube,4,total
64,youtube,2,total
65,alone,1,total
66,youtube,2,total
67,youtube,2,total
68,alone,5,total
