participants,type,score
0,total,2
1,total,2
2,total,4
3,total,5
4,total,2
5,total,1
6,total,4
7,total,2
8,total,2
9,total,4
10,total,3
11,total,2
12,total,2
13,total,3
14,total,4
15,total,3
16,total,3
17,total,3
18,total,2
19,total,2
20,total,2
21,total,3
22,total,3
23,total,1
24,total,2
25,total,3
26,total,1
27,total,2
28,total,3
29,total,3
30,total,4
31,total,3
32,total,2
33,total,3
34,total,4
35,total,2
36,total,4
37,total,2
38,total,3
39,total,1
40,total,4
41,total,2
42,total,2
43,total,3
