participants,type,score
0,alone,2
1,youtube,2
2,alone,4
3,youtube,5
4,youtube,2
5,alone,1
6,youtube,4
7,youtube,2
8,youtube,2
9,youtube,4
10,alone,3
11,youtube,2
12,alone,2
13,youtube,3
14,alone,4
15,youtube,3
16,youtube,3
17,youtube,3
18,youtube,2
19,youtube,2
20,app,2
21,youtube,3
22,youtube,3
23,youtube,1
24,youtube,2
25,youtube,3
26,youtube,1
27,youtube,2
28,youtube,3
29,youtube,3
30,youtube,4
31,youtube,3
32,youtube,2
33,youtube,3
34,youtube,4
35,alone,2
36,app,4
37,youtube,2
38,youtube,3
39,youtube,1
40,app,4
41,app,2
42,youtube,2
43,youtube,3
44,total,2
45,total,2
46,total,4
47,total,5
48,total,2
49,total,1
50,total,4
51,total,2
52,total,2
53,total,4
54,total,3
55,total,2
56,total,2
57,total,3
58,total,4
59,total,3
60,total,3
61,total,3
62,total,2
63,total,2
64,total,2
65,total,3
66,total,3
67,total,1
68,total,2
69,total,3
70,total,1
71,total,2
72,total,3
73,total,3
74,total,4
75,total,3
76,total,2
77,total,3
78,total,4
79,total,2
80,total,4
81,total,2
82,total,3
83,total,1
84,total,4
85,total,2
86,total,2
87,total,3
