participants,type,score,total
0,alone,2,total
1,youtube,2,total
2,alone,4,total
3,youtube,5,total
4,youtube,2,total
5,alone,1,total
6,youtube,4,total
7,youtube,2,total
8,youtube,2,total
9,youtube,4,total
10,alone,3,total
11,youtube,2,total
12,alone,2,total
13,youtube,3,total
14,alone,4,total
15,youtube,3,total
16,youtube,3,total
17,youtube,3,total
18,youtube,2,total
19,youtube,2,total
20,app,2,total
21,youtube,3,total
22,youtube,3,total
23,youtube,1,total
24,youtube,2,total
25,youtube,3,total
26,youtube,1,total
27,youtube,2,total
28,youtube,3,total
29,youtube,3,total
30,youtube,4,total
31,youtube,3,total
32,youtube,2,total
33,youtube,3,total
34,youtube,4,total
35,alone,2,total
36,app,4,total
37,youtube,2,total
38,youtube,3,total
39,youtube,1,total
40,app,4,total
41,app,2,total
42,youtube,2,total
43,youtube,3,total
