factor,type,score
pleasure,total,20
desireProfessional,total,7
dailyComfortable,total,16
satisfaction,total,20
necessityRecognition,total,17
beMyself,total,15
specificGoal,total,8
positiveResult,total,9
ETC,total,8
pleasure,youtube,14
desireProfessional,youtube,3
dailyComfortable,youtube,9
satisfaction,youtube,12
necessityRecognition,youtube,12
beMyself,youtube,9
specificGoal,youtube,4
positiveResult,youtube,6
ETC,youtube,6
pleasure,app,1
desireProfessional,app,2
dailyComfortable,app,1
satisfaction,app,3
necessityRecognition,app,1
beMyself,app,1
specificGoal,app,1
positiveResult,app,0
ETC,app,0
pleasure,alone,5
desireProfessional,alone,2
dailyComfortable,alone,6
satisfaction,alone,5
necessityRecognition,alone,4
beMyself,alone,5
specificGoal,alone,3
positiveResult,alone,3
ETC,alone,2
