factor,type,score
pleasure,total,10
desireProfessional,total,5
dailyComfortable,total,7
satisfaction,total,12
necessityRecognition,total,12
beMyself,total,9
specificGoal,total,6
positiveResult,total,4
ETC,total,7
pleasure,youtube,9
desireProfessional,youtube,2
dailyComfortable,youtube,6
satisfaction,youtube,7
necessityRecognition,youtube,8
beMyself,youtube,7
specificGoal,youtube,3
positiveResult,youtube,3
ETC,youtube,6
pleasure,app,1
desireProfessional,app,2
dailyComfortable,app,1
satisfaction,app,3
necessityRecognition,app,1
beMyself,app,1
specificGoal,app,1
positiveResult,app,0
ETC,app,0
pleasure,alone,0
desireProfessional,alone,1
dailyComfortable,alone,0
satisfaction,alone,2
necessityRecognition,alone,3
beMyself,alone,1
specificGoal,alone,2
positiveResult,alone,1
ETC,alone,1
