participant,A1,A2,A3,A,R1,R2,R3,R,C1,C2,C3,C,S1,S2,S3,S
22,2,2,1,1.666666667,4,4,4,4,2,2,3,2.333333333,1,3,4,2.666666667
23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,4,2,2,2.666666667,2,4,4,3.333333333,3,4,4,3.666666667,1,4,4,3
20,4,1,2,2.333333333,4,4,2,3.333333333,2,3,4,3,1,2,3,2
27,3,2,2,2.333333333,3,4,3,3.333333333,3,3,3,3,1,1,4,2
19,4,1,2,2.333333333,3,3,3,3,1,4,3,2.666666667,3,2,3,2.666666667
25,5,5,5,5,4,5,4,4.333333333,5,5,4,4.666666667,5,3,4,4
16,2,2,2,2,1,2,2,1.666666667,3,3,3,3,2,1,4,2.333333333
26,3,4,4,3.666666667,2,2,1,1.666666667,1,2,3,2,1,1,2,1.333333333
24,4,3,4,3.666666667,4,4,4,4,3,4,4,3.666666667,2,4,4,3.333333333
18,3,2,2,2.333333333,4,4,4,4,2,4,2,2.666666667,2,4,4,3.333333333
