participant,A1,A2,A3,A,R1,R2,R3,R,C1,C2,C3,C,S1,S2,S3,S
25,3,3,3,3,4,5,3,4,2,3,3,2.666666667,2,2,3,2.333333333
23,3,2,1,2,1,4,2,2.333333333,1,2,2,1.666666667,1,2,3,2
24,3,4,4,3.666666667,4,4,4,4,2,2,4,2.666666667,2,4,4,3.333333333
19,4,4,4,4,1,3,3,2.333333333,1,4,2,2.333333333,1,1,2,1.333333333
21,5,5,5,5,5,4,5,4.666666667,2,4,3,3,2,3,4,3
16,2,4,4,3.333333333,3,3,3,3,3,2,3,2.666666667,3,2,4,3
22,2,2,1,1.666666667,1,3,3,2.333333333,1,2,2,1.666666667,2,1,4,2.333333333
27,4,4,4,4,3,3,3,3,2,2,3,2.333333333,2,2,4,2.666666667
18,5,4,2,3.666666667,4,4,4,4,2,4,2,2.666666667,1,3,5,3
26,2,1,4,2.333333333,1,3,1,1.666666667,2,4,3,3,1,2,3,2
20,3,2,1,2,2,3,3,2.666666667,2,3,4,3,1,3,3,2.333333333
