participant,A1,A2,A3,A,R1,R2,R3,R,C1,C2,C3,C,S1,S2,S3,S
1,5,2,1,2.666666667,4,4,3,3.666666667,1,4,3,2.666666667,1,2,4,2.333333333
3,3,2,1,2,2,4,3,3,1,1,2,1.333333333,1,3,3,2.333333333
12,2,2,1,1.666666667,2,1,1,1.333333333,1,4,2,2.333333333,1,2,3,2
7,1,2,2,1.666666667,2,2,2,2,1,2,1,1.333333333,1,1,2,1.333333333
9,3,4,2,3,4,3,3,3.333333333,3,2,3,2.666666667,3,3,4,3.333333333
14,3,1,1,1.666666667,2,4,2,2.666666667,1,1,3,1.666666667,1,1,2,1.333333333
13,3,2,2,2.333333333,2,4,1,2.333333333,1,4,2,2.333333333,1,1,4,2
10,4,2,2,2.666666667,3,4,3,3.333333333,1,2,2,1.666666667,1,2,3,2
8,4,4,3,3.666666667,4,4,4,4,2,4,4,3.333333333,2,2,3,2.333333333
2,1,3,1,1.666666667,4,5,4,4.333333333,1,4,5,3.333333333,1,2,4,2.333333333
6,5,4,3,4,3,3,4,3.333333333,2,3,4,3,1,4,3,2.666666667
5,4,4,5,4.333333333,5,5,5,5,1,2,4,2.333333333,1,1,1,1
