participant,A1,A2,A3,A,R1,R2,R3,R,C1,C2,C3,C,S1,S2,S3,S
7,4,5,4,4.333333333,5,4,4,4.333333333,5,5,4,4.666666667,5,4,5,4.666666667
5,5,5,5,5,3,5,5,4.333333333,3,4,4,3.666666667,4,3,5,4
2,3,3,4,3.333333333,3,4,2,3,4,4,4,4,3,3,4,3.333333333
8,5,4,5,4.666666667,5,5,5,5,5,5,5,5,5,4,5,4.666666667
3,4,4,3,3.666666667,4,3,4,3.666666667,4,3,4,3.666666667,3,4,4,3.666666667
10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4.666666667
14,5,5,5,5,5,4,5,4.666666667,4,3,4,3.666666667,4,5,4,4.333333333
1,5,4,4,4.333333333,3,4,4,3.666666667,4,4,3,3.666666667,2,4,4,3.333333333
13,5,5,4,4.666666667,5,4,5,4.666666667,5,4,4,4.333333333,4,5,5,4.666666667
9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
12,3,5,5,4.333333333,4,5,5,4.666666667,5,4,4,4.333333333,4,5,5,4.666666667
6,2,5,5,4,5,5,2,4,4,5,5,4.666666667,3,5,5,4.333333333
