participant,group,measure,period,score
22,control,A,first,1.666666667
23,control,A,first,1
21,control,A,first,2.666666667
20,control,A,first,2.333333333
27,control,A,first,2.333333333
19,control,A,first,2.333333333
25,control,A,first,5
16,control,A,first,2
26,control,A,first,3.666666667
24,control,A,first,3.666666667
18,control,A,first,2.333333333
22,control,R,first,4
23,control,R,first,1
21,control,R,first,3.333333333
20,control,R,first,3.333333333
27,control,R,first,3.333333333
19,control,R,first,3
25,control,R,first,4.333333333
16,control,R,first,1.666666667
26,control,R,first,1.666666667
24,control,R,first,4
18,control,R,first,4
22,control,C,first,2.333333333
23,control,C,first,1
21,control,C,first,3.666666667
20,control,C,first,3
27,control,C,first,3
19,control,C,first,2.666666667
25,control,C,first,4.666666667
16,control,C,first,3
26,control,C,first,2
24,control,C,first,3.666666667
18,control,C,first,2.666666667
22,control,S,first,2.666666667
23,control,S,first,1
21,control,S,first,3
20,control,S,first,2
27,control,S,first,2
19,control,S,first,2.666666667
25,control,S,first,4
16,control,S,first,2.333333333
26,control,S,first,1.333333333
24,control,S,first,3.333333333
18,control,S,first,3.333333333
25,control,A,second,3
23,control,A,second,2
24,control,A,second,3.666666667
19,control,A,second,4
21,control,A,second,5
16,control,A,second,3.333333333
22,control,A,second,1.666666667
27,control,A,second,4
18,control,A,second,3.666666667
26,control,A,second,2.333333333
20,control,A,second,2
25,control,R,second,4
23,control,R,second,2.333333333
24,control,R,second,4
19,control,R,second,2.333333333
21,control,R,second,4.666666667
16,control,R,second,3
22,control,R,second,2.333333333
27,control,R,second,3
18,control,R,second,4
26,control,R,second,1.666666667
20,control,R,second,2.666666667
25,control,C,second,2.666666667
23,control,C,second,1.666666667
24,control,C,second,2.666666667
19,control,C,second,2.333333333
21,control,C,second,3
16,control,C,second,2.666666667
22,control,C,second,1.666666667
27,control,C,second,2.333333333
18,control,C,second,2.666666667
26,control,C,second,3
20,control,C,second,3
25,control,S,second,2.333333333
23,control,S,second,2
24,control,S,second,3.333333333
19,control,S,second,1.333333333
21,control,S,second,3
16,control,S,second,3
22,control,S,second,2.333333333
27,control,S,second,2.666666667
18,control,S,second,3
26,control,S,second,2
20,control,S,second,2.333333333
24,control,A,third,4
23,control,A,third,1.666666667
16,control,A,third,3.333333333
21,control,A,third,3
27,control,A,third,4
18,control,A,third,2
22,control,A,third,2
26,control,A,third,1.666666667
20,control,A,third,2.333333333
19,control,A,third,3
25,control,A,third,2
24,control,R,third,4
23,control,R,third,1.333333333
16,control,R,third,3
21,control,R,third,1.333333333
27,control,R,third,2.666666667
18,control,R,third,3.666666667
22,control,R,third,2.666666667
26,control,R,third,1.666666667
20,control,R,third,3
19,control,R,third,3
25,control,R,third,2.333333333
24,control,C,third,3.666666667
23,control,C,third,1.333333333
16,control,C,third,2
21,control,C,third,2.666666667
27,control,C,third,2.333333333
18,control,C,third,2.666666667
22,control,C,third,2.666666667
26,control,C,third,2.666666667
20,control,C,third,2.666666667
19,control,C,third,2.333333333
25,control,C,third,2.333333333
24,control,S,third,3.666666667
23,control,S,third,2
16,control,S,third,3
21,control,S,third,2.333333333
27,control,S,third,2.333333333
18,control,S,third,2.333333333
22,control,S,third,2.666666667
26,control,S,third,1.666666667
20,control,S,third,2.666666667
19,control,S,third,1.666666667
25,control,S,third,1.333333333
1,experimental,A,first,2.666666667
3,experimental,A,first,2
12,experimental,A,first,1.666666667
7,experimental,A,first,1.666666667
9,experimental,A,first,3
14,experimental,A,first,1.666666667
13,experimental,A,first,2.333333333
10,experimental,A,first,2.666666667
8,experimental,A,first,3.666666667
2,experimental,A,first,1.666666667
6,experimental,A,first,4
5,experimental,A,first,4.333333333
